CaseName;Val 1;Val 2;Val 3;Val A;Val B;Val C;Val X;Val Y;Val Z;Val I1;Val I2;Val I3
Case 1;0,100332;0;0,98787;17,503025;0,909522;17,603357;0,909522;0,0057;0;1,0208863595004756;0,8040329876120225;
Case 2;0,105011;0;0,989608;17,565409;0,909522;17,67042;0,909522;0,005943;0;1,0;1,0;2,0
Case 3;0,181429;0;0,990798;17,639748;0,909522;17,821177;0,909522;0,010181;0;1,0;1,0;2,0
Case 4;0,085756;0,043437;0,987276;14,359983;0,781869;14,274227;0,738432;0,006008;0,058823;2,0;1,0;2,0
Case 6;0,040202;0,0262;0,981811;13,713102;0,67372;13,753304;0,647519;0,002923;0,040463;1,961527807043776;2,0603094684667225;
Case 7;0,033271;0,003743;0,991106;13,444857;0,647519;13,411586;0,643777;0,002481;0,005814;2,0;1,0;2,0
Case 8;1,178138;0;0,986813;12,632495;0,658748;12,810633;0,658748;0,013905;0;2,2614285508564858;0,8392516765438772;2,0369267717064607
Case 9;0,154571;0,018714;0,988623;11,625361;0,587633;11,470791;0,568919;0,013475;0,032895;2,0;1,0;2,0
Case 10;0,036043;0,003743;0,989691;11,888755;0,617576;11,852712;0,613833;0,003041;0,006098;;1,0261055272179889;2,001022691328492
Case 12;0,126845;0;0,98668;13,541896;0,658748;13,668741;0,658748;0,00928;0;2,0751396036691343;;1,9416612500413448
Case 13;0,110556;0,016178;0,987743;14,959352;0,695676;14,848796;0,679497;0,007445;0,023809;2,856247728646413;0,9814341023336184;2,668099507798192
Case 14;0,188079;0;0,984063;11,981098;0,634197;12,169177;0,634197;0,015455;0;3,0;2,0;3,0
Case 15;0,011243;0,003519;0,991773;11,138244;0,633498;11,127001;0,629978;0,00101;0,005587;1,0;1,0;3,0
Case 16;0,08652;0,003519;0,991776;12,266928;0,591264;12,180408;0,587745;0,007103;0,005988;;0,9498242956415464;3,274620635310622
Case 17;0,197483;0;0,98722;13,29296;0,647575;13,490443;0,647575;0,014639;0;0,94965243458838;0,8449336568933867;
Case 18;0,183222;0;0,987167;17,883265;0,817886;18,066486;0,817886;0,010142;0;1,0;1,0;3,0
Case 19;0,096904;0,004397;0,991231;13,69685;0,778311;13,599946;0,773914;0,007125;0,005682;0,988435171761176;;2,556443402889772
Case 20;0,245924;0;0,987146;15,923199;0,804694;16,169123;0,804694;0,015209;0;;1,0473832920911788;
Case 21;0,163677;0,004397;0,987883;16,799406;0,765119;16,963083;0,760722;0,009649;0,00578;1,0;1,0;3,0
Case 22;0,228008;0,017589;0,99068;17,817305;0,7959;17,589296;0,778311;0,012963;0,022599;2,0;1,0;2,0
Case 23;0,273611;0;0,986497;17,208195;0,817886;17,481806;0,817886;0,015651;0;1,9928347921780096;1,1564643655814006;
Case 24;0,055373;0,004397;0,991029;13,980232;0,7959;13,924859;0,791503;0,003977;0,005556;2,0;1,0;2,0
Case 25;0,140062;0,030781;0,98493;14,845039;0,707955;14,704977;0,677174;0,009525;0,045454;2,0;2,0;2,0
Case 26;0,021173;0;0,990375;12,016095;0,637599;11,994923;0,637599;0,001765;0;2,0;1,0;2,0
Case 27;0,236967;0;0,985804;15,004646;0,637599;15,241613;0,637599;0,015547;0;;1,0361395605508414;2,307607313293194
Case 28;0,293156;0,004397;0,98526;14,41345;0,681572;14,706606;0,677174;0,019934;0,006493;;;
Case 29;0,133877;0,003103;0,989535;16,076103;0,741535;16,20998;0,738432;0,008259;0,004202;1,0257550390722765;0,9925554084233832;1,6162457569401916
